Όνομα,Περιγραφή
Αμφιλόχιος,"Μητροπολίτης Αδριανουπόλεως, πρώην διευθυντής του γραφείου εκπροσώπησης του Οικουμενικού Πατριαρχείου στην Αθήνα"
Αρης Αλεξόπουλος,"Αντιναύαρχος, γενικός διευθυντής της Γενικής Διεύθυνσης Αμυντικών Εξοπλισμών και Επενδύσεων"
Σπύρος Κουσουνής,"Πρώην στέλεχος της Αντιτρομοκρατικής και πρώην διευθυντής ασφαλείας στην Coca-Cola 3E"
Μαίη Ζαννή,"Ειδική σύμβουλος στη Γενική Γραμματεία πρωθυπουργού, πρώην σύντροφος του δημάρχου Αθηναίων Κώστα Μπακογιάννη"
Γιάννης Αναστασάκος,"Στενός συνεργάτης του πρώην υπουργού Προστασίας του Πολίτη Μιχάλη Χρυσοχοΐδη"
Μαρία Σαράφογλου,"Δημοσιογράφος Αnt1"
Σπύρος Σιδέρης,"Δημοσιογράφος στα Euractiv, i-Eidiseis"
Πέτρος Κουσουλός,"Δημοσιογράφος, εκδότης της εφημερίδας «Μπαμ»"
Στέφανος Χίος,"Εκδότης της εφημερίδας «Μακελειό»"
Γκρατσιέλα Κλάδη,"Εργάζεται στο τμήμα εμπορίας καυσίμων της εταιρείας Aegean"
Βαγγέλης Πιττερός,"Ιδιοκτήτης εστιατορίου στο Κολωνάκι"
Τόνια Πρίμπα,"Δικηγόρος, σύμβουλος στη Γενική Γραμματεία Τηλεπικοινωνιών και Ταχυδρομείων"
Τάσος Παπαγεωργίου,"Διευθυντής ασφαλείας της ΕΥΠ"
Μιχάλης Καραμαλάκης,"Πρώην αρχηγός της ΕΛΑΣ και νυν γενικός γραμματέας του υπουργείου Προστασίας του Πολίτη"
Βασιλική Βλάχου,"Εισαγγελέας αρμόδια για την ΕΥΠ"
Νίκη Κεραμέως,"Υπουργός Παιδείας και Θρησκευμάτων"
Γιάννης Οικονόμου,"Κυβερνητικός εκπρόσωπος"
Ανδρέας Λοβέρδος,"Βουλευτής ΠΑΣΟΚ-ΚΙΝΑΛ, κατήλθε ως υποψήφιος για την προεδρία του Κινήματος"
Γιώργος Μυλωνάκης,"Γενικός γραμματέας της Βουλής"
Τίνα Μεσσαροπούλου,"Πανελίστρια, σύζυγος του γγ της Βουλής Γ. Μυλωνάκη"
Χρήστος Μπαρδάκης,"Εισαγγελέας εφετών, επικεφαλής της Οικονομικής Εισαγγελίας"
Γιώργος Σταμαδιάνος,"Γιος του πρώην προέδρου του Συμβουλίου Εφετών Κωνσταντίνου Σταμαδιάνου, συνεργάτης του τότε υπουργού Μεταφορών Μιχάλη Χρυσοχοΐδη και πρώην μέλος του Διαιτητικού Δικαστηρίου της ΕΠΟ"
Βασίλης Ανδρικόπουλος,"Πρώην προϊστάμενος του ιδιαίτερου γραφείου της Γενικής Γραμματείας Πρωθυπουργού και ειδικός σύμβουλος του Μητσοτάκη για θέματα ανάπτυξης και επιχειρηματικότητας, νυν στέλεχος της εταιρείας Καραμολέγκος και μέλος του ΔΣ της εταιρείας εκμετάλλευσης ακινήτων Premia"
Αλεξάνδρα Σδούκου,"Γενική γραμματέας του υπουργείου Περιβάλλοντος και Ενέργειας"
Γιάννης Θεοδωράτος,"Διευθυντής του υπουργικού γραφείου του Αδωνη Γεωργιάδη"
Απόστολος Παυλίδης,"Πρόεδρος του Τμήματος Ανατολικής Μακεδονίας του Τεχνικού Επιμελητηρίου Ελλάδας (ΤΕΕ), πρώην διευθυντής του πολιτικού γραφείου του υπουργού Αμυνας Νίκου Παναγιωτόπουλου"
Μαρία Διαμαντή,"Εργάζεται στο Μέγαρο Μαξίμου"
Λία Αθανασίου,"Πανεπιστημιακός, συνεργάτιδα και συνέταιρος του Γιώργου Γεραπετρίτη στο δικηγορικό γραφείο Αθανασίου – Γεραπετρίτης & Συνεργάτες – Εταιρεία Δικηγόρων"
Μερόπη Κομνηνού,"Προϊσταμένη της Ειδικής Υπηρεσίας Επιτελικής Δομής ΕΣΠΑ στο υπουργείο Εργασίας"
Πηνελόπη Μανιάτη,"ε.α. υποστράτηγος της ΕΛΑΣ και πρώην διευθύντρια της Διεύθυνσης Εγκληματολογικών Ερευνών"
Μένιος Φουρθιώτης,"Τηλεπερσόνα της trash TV"
Νανά Παλαιτσάκη,"Τηλεπαρουσιάστρια"
Παρασκευή (Βιβή) Παπουτσάκη,"Συνεργάτιδα του Μ. Φουρθιώτη, κατά καιρούς στο πάνελ της εκπομπής του"
Γρηγόρης Δημητριάδης,"Διευθύνων σύμβουλος του Υπερταμείου (ΕΕΣΥΠ), μέλος του ΔΣ της ΔΕΗ"
Γιώργος Γεράρδης,"Οικονομικός σύμβουλος της V+O"
Δημήτρης Μαζιώτης,"Συνιδρυτής της W2 Strategy με εξειδίκευση στη διαχείριση κρίσεων, την πολιτική και την εταιρική επικοινωνία"
Γιώργος Πολίτης,"Διευθύνων σύμβουλος της ΑΕΠΕΥ Euroxx"
Φωτεινή Ιωάννου,"Γενική διευθύντρια διαχείρισης απαιτήσεων και μέλος της Εκτελεστικής Επιτροπής της Εθνικής Τράπεζας"
Νίκος Μπάμπαλης,"Business development chief officer της Wind"
Γιάννης Φυτίλης,"Δικηγόρος"
Λαμπρινή Ρόρη,"Επίκουρη καθηγήτρια στο τμήμα Πολιτικής Επιστήμης και Δημόσιας Διοίκησης του ΕΚΠΑ"
Ροσάννα Μόρτογλου,"Επικεφαλής εκπρόσωπος του ομίλου Libra στην Ελλάδα"
Κώστας Τούμπουρος,"Μέλος του διοικητικού συμβουλίου της ΕΛΛΑΚΤΩΡ ΑΕ"
Τάκης Θεοδωράτος,"Δεν έχει ταυτοποιηθεί"
Παναγιώτης Ζαρκαδάς,"Δεν έχει ταυτοποιηθεί"
Γιάννης Παπαδόπουλος,"Δεν έχει ταυτοποιηθεί"
Γιάννης Αστραπός,"Δεν έχει ταυτοποιηθεί"
Αννα Αστρινάκη,"Δεν έχει ταυτοποιηθεί"
