Όνομα,Περιγραφή,Μέθοδος
Ελίνα Κυπραίου,"Από το 2004 συνεργάτιδα του Κυρ. Μητσοτάκη","Predator"
Γιάννης Αναστασάκος,"Στενός συνεργάτης του πρώην υπουργού Προστασίας του Πολίτη Μιχάλη Χρυσοχοΐδη","Predator"
Γιώργος Σταμαδιάνος,"Γιος του πρώην προέδρου του Συμβουλίου Εφετών Κωνσταντίνου Σταμαδιάνου, συνεργάτης του τότε υπουργού Μεταφορών Μιχάλη Χρυσοχοΐδη και πρώην μέλος του Διαιτητικού Δικαστηρίου της ΕΠΟ","Predator"
Λία Αθανασίου,"Πανεπιστημιακός, συνεργάτιδα και συνέταιρος του Γιώργου Γεραπετρίτη στο δικηγορικό γραφείο Αθανασίου - Γεραπετρίτης & Συνεργάτες - Εταιρεία Δικηγόρων","Predator"
Μερόπη Κομνηνού,"Προϊσταμένη της Ειδικής Υπηρεσίας Επιτελικής Δομής ΕΣΠΑ στο υπουργείο Εργασίας","Predator"
Ολγα Γεροβασίλη,"Επικεφαλής της κοινοβουλευτικής ομάδας του ΣΥΡΙΖΑ, πρώην υπουργός Προστασίας του Πολίτη.","Predator"
Σπύρος Καρανικόλας,"Μέχρι τις 14 Ιουνίου 2022 μέλος του ΠΑΣΟΚ-ΚΙΝΑΛ","Predator"
Ευγενία Μανωλίδου,"Σύζυγος Αδ. Γεωργιάδη.","Predator"
Τζένη Μπαλατσινού,"Σύζυγος Β. Κικίλια.","Predator"
Πόπη Καλαϊτζή,"Σύζυγος Κ. Χατζηδάκη.","Predator"
Μαρίνα Πατούλη,"Σύζυγος Γ. Πατούλη.","Predator"
Εύα Καϊλή,"Ευρωβουλευτής του ΠΑΣΟΚ-ΚΙΝΑΛ","ΕΥΠ"
Γιάννης Ζερβάκης,"Σύµβουλος του πρωθυπουργού µε αντικείµενο τη συνέργεια µε την Κοινωνία των Πολιτών και την παρακολούθηση µεγάλων έργων που χρηµατοδοτούνται από ιδρύµατα και φορείς","ΕΥΠ"
Θανάσης Κουκάκης,"Δημοσιογράφος.","Predator & ΕΥΠ"
Στέφανος Χίος,"Εκδότης της εφημερίδας «Μακελειό»","Predator & ΕΥΠ"
Μένιος Φουρθιώτης,"Τηλεπερσόνα της trash TV","Predator & ΕΥΠ"
Λάκης Λαζόπουλος,"Ηθοποιός.","Predator & ΕΥΠ"
Αλέξης Παπαχελάς,"Διευθυντής «Καθημερινής»","Predator & ΕΥΠ"
Τάσος Καραμήτσος,"Δημοσιογράφος, εκδότης της εφημερίδας «Πρώτο Θέμα»","Predator"
Αντώνης Δελλατόλας,"Δημοσιογράφος.","Predator"
Εύα Αντωνοπούλου,"Δημοσιογράφος, σύζυγος Π. Αρκουμανέα.","Predator"
Μαρία Σαράφογλου,"Δημοσιογράφος Αnt1","Predator"
Σπύρος Σιδέρης,"Δημοσιογράφος στα Euractiv, i-Eidiseis","Predator"
Πέτρος Κουσουλός,"Δημοσιογράφος, εκδότης της εφημερίδας «Μπαμ»","Predator"
Νανά Παλαιτσάκη,"Τηλεπαρουσιάστρια","Predator"
Παρασκευή (Βιβή) Παπουτσάκη,"Συνεργάτιδα του Μ. Φουρθιώτη, κατά καιρούς στο πάνελ της εκπομπής του","Predator"
Γιάννης Κουρτάκης,"Εκδότης εφημερίδας «Παραπολιτικά»","Predator"
Χρήστος Αγραφιώτης,"Μέλος ΔΣ της εφημερίδας «Καθημερινή»","Predator"
Γιώργος Κύρτσος,"Δημοσιογράφος και πρώην Ευρωβουλευτής ΝΔ","ΕΥΠ"
Γιώργος Τράγκας,"∆ηµοσιογράφος και εκδότης","ΕΥΠ"
Αρης Σπίνος,"∆ηµοσιογράφος, ιδιοκτήτης του µπλογκ edolio5.blogspot.com","ΕΥΠ"
Κωνσταντίνος Φλώρος,"Στρατηγός και αρχηγός ΓΕΕΘΑ, µέλος του ΚΥΣΕΑ","Predator & ΕΥΠ"
Αριστείδης Αλεξόπουλος,"Αντιναύαρχος, γενικός διευθυντής της Γενικής Διεύθυνσης Αμυντικών Εξοπλισμών και Επενδύσεων (Γ∆ΑΕΕ)","Predator & ΕΥΠ"
Πηνελόπη Μηνιάτη,"Υποστρατήγος και διευθύντρια της Διεύθυνσης Εγκληματολογικών Ερευνών της Ελληνικής Αστυνομίας","Predator & ΕΥΠ"
Τάσος Παπαγεωργίου,"Διευθυντής ασφαλείας της ΕΥΠ","Predator"
Γιάννης Ραχωβίτσας,"Υπαρχηγός του Αστυνομικού Σώματος.","Predator"
Βασίλης Γκρίζης,"Α' υποδιοικητής της ΕΥΠ","Predator"
Αγγελική Ρούσσου,"Πρώην διευθύντρια του κλιμακίου της ΕΥΠ","Predator"
Χαράλαµπος Λαλούσης,"Αντιστράτηγος και αρχηγός ΓΕΣ","ΕΥΠ"
Θοδωρής Λάγιος,"Πρώην διευθυντής της Γενικής ∆ιεύθυνσης Αµυντικών Εξοπλισµών και Επενδύσεων (Γ∆ΑΕΕ)","ΕΥΠ"
Χρήστος Μπαρδάκης,"Εισαγγελέας εφετών, επικεφαλής της Οικονομικής Εισαγγελίας","Predator & ΕΥΠ"
Βασιλική Βλάχου,"Εισαγγελέας αρμόδια για την ΕΥΠ","Predator"
